query_id,treatment_id,parent_node,Async Capable,Parent Relationship,Parallel Aware,Node Type,Plan Rows,Output,input_rows,output_rows,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,Peak Memory Usage,Original Hash Buckets,Original Hash Batches,shared_read_blocks_log,run_id,execution_log_time,dbname,data_folder_name
5125,0,Hash Join,False,Inner,False,Hash,2022241,"['a.id', 'a.body', 'a.score', 'a.parentid']",2025942,2025942,2025942,2022241,0.0,0.0,1685.9405,1.0,60168.0,0.0,0.0,0.0,4948.0,28.0,1024.0,4096.0,4.77937279364072,0,3.2270997648787647,mathso,ce_mathso
5125,6,Hash Join,False,Inner,False,Hash,2022241,"['a.id', 'a.body', 'a.score', 'a.parentid']",2025942,2025942,2025942,2022241,0.0,0.0,448.5453333333333,1.0,60168.0,0.0,0.0,0.0,5937.0,29916.0,1048576.0,4.0,4.77937279364072,0,2.652773493674996,mathso,ce_mathso
6006,0,Hash Join,False,Inner,False,Hash,115,['p.id'],0,0,0,115,0.0,0.0,0.0029999999999859,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.0013009330204120147,mathso,ce_mathso
6006,9,Hash Join,False,Inner,False,Hash,115,['p.id'],0,0,0,115,0.0,0.0,0.0039999999999812,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.0017337128089923671,mathso,ce_mathso
6582,0,Hash Join,False,Inner,False,Hash,115,"['posts.parentid', 'posts.id', 'posts.communityowneddate']",0,0,0,115,0.0,0.0,0.0015000000000071,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.0006509536295981394,mathso,ce_mathso
6582,0,Hash Join,False,Inner,False,Hash,204,"['tags.tagname', 'posts.id', 'posts.communityowneddate']",0,0,0,204,0.0,0.0,0.0012499999999988002,1.0,60186.0,0.0,0.0,0.0,6.0,8.0,1024.0,1.0,4.7795026966074605,0,0.0005425290922935806,mathso,ce_mathso
6582,0,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",1943,1943,1943,1943,0.0,0.0,0.66075,1.0,16.0,0.0,0.0,0.0,5.0,59.0,1024.0,2.0,1.2304489213782739,0,0.22030426111358709,mathso,ce_mathso
6582,6,Hash Join,False,Inner,False,Hash,115,"['posts.parentid', 'posts.id', 'posts.communityowneddate']",0,0,0,115,0.0,0.0,0.001333333333301767,1.0,60169.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.779380011491656,0,0.000578673612454604,mathso,ce_mathso
6582,6,Hash Join,False,Inner,False,Hash,204,"['tags.tagname', 'posts.id', 'posts.communityowneddate']",0,0,0,204,0.0,0.0,0.0006666666666508667,1.0,60186.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,4.7795026966074605,0,0.0002894331875822734,mathso,ce_mathso
6582,6,Hash Join,False,Inner,False,Hash,1943,"['tags.tagname', 'tags.id']",1943,1943,1943,1943,0.0,0.0,0.3359999999999999,1.0,16.0,0.0,0.0,0.0,0.0,119.0,2048.0,1.0,1.2304489213782739,0,0.12580645813952682,mathso,ce_mathso
6680,0,Hash Join,False,Inner,False,Hash,1943,"['t.tagname', 't.id']",1943,1943,1943,1943,0.0,0.0,1.4505,1.0,16.0,0.0,0.0,0.0,5.0,59.0,1024.0,2.0,1.2304489213782739,0,0.38925470684864844,mathso,ce_mathso
6680,6,Hash Join,False,Inner,False,Hash,1943,"['t.tagname', 't.id']",1943,1943,1943,1943,0.0,0.0,0.339,1.0,16.0,0.0,0.0,0.0,0.0,119.0,2048.0,1.0,1.2304489213782739,0,0.12678057701200895,mathso,ce_mathso
6705,0,Hash Join,False,Inner,False,Hash,952172,"['u.id', 'u.displayname', 'u.reputation']",952172,952172,952172,952172,0.0,0.0,461.33471428571426,1.0,22739.0,0.0,0.0,0.0,4104.0,56.0,1024.0,1024.0,4.356790460351716,0,2.664956503554278,mathso,ce_mathso
6705,6,Hash Join,False,Inner,False,Hash,952172,"['u.id', 'u.displayname', 'u.reputation']",952172,952172,952172,952172,0.0,0.0,258.46842857142855,1.0,22739.0,0.0,0.0,0.0,2377.0,32835.0,1048576.0,2.0,4.356790460351716,0,2.41408452160121,mathso,ce_mathso
6709,0,Hash Join,False,Inner,False,Hash,4,"['tags.tagname', 'tags.id']",0,0,0,4,0.0,0.0,0.002499999999999975,1.0,16.0,0.0,0.0,0.0,0.0,8.0,1024.0,1.0,1.2304489213782739,0,0.001084381292219893,mathso,ce_mathso
