query_id,treatment_id,parent_node,Alias,input_rows,output_rows,Async Capable,Parent Relationship,Filter,Schema,Parallel Aware,Node Type,Output,Relation Name,Rows Removed by Filter,execution_time,Actual Loops,I/O Read Time,I/O Write Time,Shared Read Blocks,Shared Hit Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Plan Rows,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
2111,6,Hash Join,q,3557569,3557569,False,Outer,0,public,False,Seq Scan,"['q.id', 'q.acceptedanswerid']",posts,0.0,479.67733333333337,1.0,106.80866666666667,0.0,60137.0,32.0,60137.0,32.0,3557569.0,2.6818536431597404,4.779148980741438,0,mathso,ce_mathso
2468,0,Sort,q,3557569,1,False,Outer,((q.owneruserid = 141894) AND (q.posttypeid = 1)),public,False,Seq Scan,"['id', ""CASE WHEN (acceptedanswerid IS NOT NULL) THEN 'Accepted'::text ELSE NULL::text END"", 'score', 'creationdate']",posts,3557568.0,466.486,1.0,160.709,0.0,60169.0,0.0,60169.0,0.0,50.0,2.669768609403643,4.779380011491656,0,mathso,ce_mathso
2468,9,Sort,q,3557569,1,False,Outer,((q.owneruserid = 141894) AND (q.posttypeid = 1)),public,False,Seq Scan,"['id', ""CASE WHEN (acceptedanswerid IS NOT NULL) THEN 'Accepted'::text ELSE NULL::text END"", 'score', 'creationdate']",posts,3557568.0,479.1203333333333,1.0,160.26933333333332,0.0,60169.0,0.0,60169.0,0.0,50.0,2.681350098944528,4.779380011491656,0,mathso,ce_mathso
2469,0,Sort,badges,2003277,7,False,Outer,(badges.userid = 185110),public,False,Seq Scan,"['name', 'date']",badges,2003270.0,163.228,1.0,45.583,0.0,14248.0,0.0,14248.0,0.0,18.0,2.215447203994176,4.15378438646937,0,mathso,ce_mathso
2469,9,Sort,badges,2003277,7,False,Outer,(badges.userid = 185110),public,False,Seq Scan,"['name', 'date']",badges,2003270.0,150.8456666666667,1.0,39.64033333333333,0.0,14248.0,0.0,14248.0,0.0,18.0,2.1814024026447494,4.15378438646937,0,mathso,ce_mathso
2760,0,Sort,comments,6585919,6585919,False,Outer,0,public,False,Seq Scan,"['userid', 'id']",comments,0.0,1384.081,1.0,478.6684285714286,0.0,177043.0,0.0,177043.0,0.0,6585919.0,3.1414751718296428,5.248081213155437,0,mathso,ce_mathso
2760,6,Aggregate,comments,6585919,6585919,False,Outer,0,public,False,Seq Scan,"['id', 'postid', 'score', 'text', 'creationdate', 'userid', 'jsonfield']",comments,0.0,1057.3545714285715,1.0,467.13585714285716,0.0,177043.0,0.0,177043.0,0.0,6585919.0,3.0246311900217386,5.248081213155437,0,mathso,ce_mathso
2868,0,Hash,posts,3557569,0,False,Outer,(posts.owneruserid = 770969),public,False,Seq Scan,"['posts.posttypeid', 'posts.id']",posts,3557569.0,469.666,1.0,159.103,0.0,60169.0,0.0,60169.0,0.0,115.0,2.6727128268476954,4.779380011491656,0,mathso,ce_mathso
2868,0,Hash Join,votes,12465841,1,False,Outer,0,public,False,Seq Scan,"['votes.id', 'votes.postid', 'votes.votetypeid', 'votes.userid', 'votes.creationdate', 'votes.bountyamount', 'votes.jsonfield']",votes,0.0,0.205,1.0,0.192,0.0,1.0,0.0,1.0,0.0,12465841.0,0.08098704691088722,0.3010299956639812,0,mathso,ce_mathso
2868,9,Hash,posts,3557569,0,False,Outer,(posts.owneruserid = 770969),public,False,Seq Scan,"['posts.posttypeid', 'posts.id']",posts,3557569.0,477.224,1.0,157.51033333333334,0.0,60169.0,0.0,60169.0,0.0,115.0,2.6796313676936347,4.779380011491656,0,mathso,ce_mathso
2868,9,Hash Join,votes,12465841,1,False,Outer,0,public,False,Seq Scan,"['votes.id', 'votes.postid', 'votes.votetypeid', 'votes.userid', 'votes.creationdate', 'votes.bountyamount', 'votes.jsonfield']",votes,0.0,0.21766666666666667,1.0,0.20566666666666666,0.0,1.0,0.0,1.0,0.0,12465841.0,0.08552841749225423,0.3010299956639812,0,mathso,ce_mathso
3155,0,Aggregate,posts,3557569,0,False,Outer,((posts.posttypeid = 2) AND (posts.owneruserid = 198691)),public,False,Seq Scan,"['id', 'posttypeid', 'acceptedanswerid', 'parentid', 'creationdate', 'score', 'viewcount', 'body', 'owneruserid', 'lasteditoruserid', 'lasteditordisplayname', 'lasteditdate', 'lastactivitydate', 'title', 'tags', 'answercount', 'commentcount', 'favoritecount', 'closeddate', 'communityowneddate', 'jsonfield']",posts,3557569.0,498.132,1.0,163.658,0.0,60169.0,0.0,60169.0,0.0,65.0,2.698215413941299,4.779380011491656,0,mathso,ce_mathso
3155,9,Aggregate,posts,3557569,0,False,Outer,((posts.posttypeid = 2) AND (posts.owneruserid = 198691)),public,False,Seq Scan,"['id', 'posttypeid', 'acceptedanswerid', 'parentid', 'creationdate', 'score', 'viewcount', 'body', 'owneruserid', 'lasteditoruserid', 'lasteditordisplayname', 'lasteditdate', 'lastactivitydate', 'title', 'tags', 'answercount', 'commentcount', 'favoritecount', 'closeddate', 'communityowneddate', 'jsonfield']",posts,3557569.0,509.2703333333333,1.0,165.47299999999998,0.0,60169.0,0.0,60169.0,0.0,65.0,2.707800319568452,4.779380011491656,0,mathso,ce_mathso
3557,0,Aggregate,posts,3557569,1527295,False,Outer,(posts.posttypeid = 1),public,False,Seq Scan,"['posts.id', 'posts.posttypeid', 'posts.acceptedanswerid', 'posts.parentid', 'posts.creationdate', 'posts.score', 'posts.viewcount', 'posts.body', 'posts.owneruserid', 'posts.lasteditoruserid', 'posts.lasteditordisplayname', 'posts.lasteditdate', 'posts.lastactivitydate', 'posts.title', 'posts.tags', 'posts.answercount', 'posts.commentcount', 'posts.favoritecount', 'posts.closeddate', 'posts.communityowneddate', 'posts.jsonfield']",posts,2030274.0,481.192,1.0,164.991,0.0,60169.0,0.0,60169.0,0.0,1530585.0,2.683220000764213,4.779380011491656,0,mathso,ce_mathso
3557,0,Aggregate,posts_1,3557569,2025942,False,Outer,(posts_1.posttypeid = 2),public,False,Seq Scan,"['posts_1.id', 'posts_1.posttypeid', 'posts_1.acceptedanswerid', 'posts_1.parentid', 'posts_1.creationdate', 'posts_1.score', 'posts_1.viewcount', 'posts_1.body', 'posts_1.owneruserid', 'posts_1.lasteditoruserid', 'posts_1.lasteditordisplayname', 'posts_1.lasteditdate', 'posts_1.lastactivitydate', 'posts_1.title', 'posts_1.tags', 'posts_1.answercount', 'posts_1.commentcount', 'posts_1.favoritecount', 'posts_1.closeddate', 'posts_1.communityowneddate', 'posts_1.jsonfield']",posts,1531627.0,444.544,1.0,113.435,0.0,60137.0,32.0,60137.0,32.0,2022241.0,2.6488905995370096,4.779148980741438,0,mathso,ce_mathso
3557,9,Aggregate,posts,3557569,1527295,False,Outer,(posts.posttypeid = 1),public,False,Seq Scan,"['posts.id', 'posts.posttypeid', 'posts.acceptedanswerid', 'posts.parentid', 'posts.creationdate', 'posts.score', 'posts.viewcount', 'posts.body', 'posts.owneruserid', 'posts.lasteditoruserid', 'posts.lasteditordisplayname', 'posts.lasteditdate', 'posts.lastactivitydate', 'posts.title', 'posts.tags', 'posts.answercount', 'posts.commentcount', 'posts.favoritecount', 'posts.closeddate', 'posts.communityowneddate', 'posts.jsonfield']",posts,2030274.0,458.44966666666664,1.0,155.36066666666667,0.0,60169.0,0.0,60169.0,0.0,1530585.0,2.6622379407792636,4.779380011491656,0,mathso,ce_mathso
3557,9,Aggregate,posts_1,3557569,2025942,False,Outer,(posts_1.posttypeid = 2),public,False,Seq Scan,"['posts_1.id', 'posts_1.posttypeid', 'posts_1.acceptedanswerid', 'posts_1.parentid', 'posts_1.creationdate', 'posts_1.score', 'posts_1.viewcount', 'posts_1.body', 'posts_1.owneruserid', 'posts_1.lasteditoruserid', 'posts_1.lasteditordisplayname', 'posts_1.lasteditdate', 'posts_1.lastactivitydate', 'posts_1.title', 'posts_1.tags', 'posts_1.answercount', 'posts_1.commentcount', 'posts_1.favoritecount', 'posts_1.closeddate', 'posts_1.communityowneddate', 'posts_1.jsonfield']",posts,1531627.0,420.9796666666667,1.0,104.95,0.0,60137.0,32.0,60137.0,32.0,2022241.0,2.625291524736041,4.779148980741438,0,mathso,ce_mathso
3634,0,Sort,comments,6585919,0,False,Outer,(comments.userid = 275051),public,False,Seq Scan,['score'],comments,6585919.0,1102.009,1.0,491.404,0.0,177043.0,0.0,177043.0,0.0,296.0,3.042579056079711,5.248081213155437,0,mathso,ce_mathso
3634,9,Sort,comments,6585919,0,False,Outer,(comments.userid = 275051),public,False,Seq Scan,['score'],comments,6585919.0,1037.8456666666668,1.0,464.67366666666663,0.0,177043.0,0.0,177043.0,0.0,296.0,3.0165510325489273,5.248081213155437,0,mathso,ce_mathso
3773,0,Sort,comments,6585919,0,False,Outer,((comments.score >= 10) AND (comments.userid = 479382)),public,False,Seq Scan,"['score', 'postid', 'text']",comments,6585919.0,1085.463,1.0,486.01,0.0,177043.0,0.0,177043.0,0.0,1.0,3.0360149408089185,5.248081213155437,0,mathso,ce_mathso
3773,9,Sort,comments,6585919,0,False,Outer,((comments.score >= 10) AND (comments.userid = 479382)),public,False,Seq Scan,"['score', 'postid', 'text']",comments,6585919.0,1065.2626666666665,1.0,473.67,0.0,177043.0,0.0,177043.0,0.0,1.0,3.027864203407244,5.248081213155437,0,mathso,ce_mathso
3978,0,Hash,posts_1,3557569,0,False,Outer,((posts_1.creationdate < '2010-06-01 00:00:00'::timestamp without time zone) AND (posts_1.creationdate > '2010-05-01 00:00:00'::timestamp without time zone)),public,False,Seq Scan,['posts_1.id'],posts,3557569.0,418.038,1.0,154.984,0.0,60169.0,0.0,60169.0,0.0,1.0,2.6222534082694047,4.779380011491656,0,mathso,ce_mathso
3978,0,Hash,posttags,3641094,0,False,Outer,0,public,False,Seq Scan,"['posttags.postid', 'posttags.tagid']",posttags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3641094.0,0.0,0.0,0,mathso,ce_mathso
3978,0,Hash,tags,1943,0,False,Outer,0,public,False,Seq Scan,"['tags.tagname', 'tags.id']",tags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,0.0,0.0,0,mathso,ce_mathso
3978,0,Hash Join,posts,3557569,0,False,Outer,0,public,False,Seq Scan,['posts.id'],posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557569.0,0.0,0.0,0,mathso,ce_mathso
3978,0,Hash Join,posttags_1,3641094,1,False,Outer,0,public,False,Seq Scan,"['posttags_1.postid', 'posttags_1.tagid']",posttags,0.0,0.207,1.0,0.181,0.0,1.0,0.0,1.0,0.0,3641094.0,0.08170727009734924,0.3010299956639812,0,mathso,ce_mathso
3978,0,Nested Loop,tags_1,1943,0,False,Inner,0,public,False,Seq Scan,"['tags_1.id', 'tags_1.tagname', 'tags_1.count', 'tags_1.excerptpostid', 'tags_1.wikipostid', 'tags_1.jsonfield']",tags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,0.0,0.0,0,mathso,ce_mathso
3978,9,Hash,posts_1,3557569,0,False,Outer,((posts_1.creationdate < '2010-06-01 00:00:00'::timestamp without time zone) AND (posts_1.creationdate > '2010-05-01 00:00:00'::timestamp without time zone)),public,False,Seq Scan,['posts_1.id'],posts,3557569.0,435.0826666666667,1.0,160.784,0.0,60169.0,0.0,60169.0,0.0,1.0,2.6395688247595905,4.779380011491656,0,mathso,ce_mathso
3978,9,Hash,posttags,3641094,0,False,Outer,0,public,False,Seq Scan,"['posttags.postid', 'posttags.tagid']",posttags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3641094.0,0.0,0.0,0,mathso,ce_mathso
3978,9,Hash,tags,1943,0,False,Outer,0,public,False,Seq Scan,"['tags.tagname', 'tags.id']",tags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943.0,0.0,0.0,0,mathso,ce_mathso
3978,9,Hash Join,posts,3557569,0,False,Outer,0,public,False,Seq Scan,['posts.id'],posts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557569.0,0.0,0.0,0,mathso,ce_mathso
