query_id,treatment_id,parent_node,Parent Relationship,Join Type,Parallel Aware,Hash Cond,Node Type,Plan Rows,Output,Plan Width,Join Filter,left_child_input_actual_rows,left_child_input_rows,right_child_input_actual_rows,right_child_input_rows,output_rows,input_rows,execution_time,Actual Loops,Shared Read Blocks,Self Shared Read Blocks,Self Shared Hit Blocks,Temp Read Blocks,Temp Written Blocks,execution_log_time,shared_read_blocks_log,run_id,dbname,data_folder_name
80975,0,Hash,Outer,Inner,False,(pt.tagid = t.id),Hash Join,3748,"['pt.postid', 't.tagname', 't.count']",24,0,1,3641094,0,2,0,1,0.015000000000000051,1.0,17.0,0.0,0.0,0.0,0.0,0.006466042249231776,1.255272505103306,0,mathso,ce_mathso
80975,0,Hash,Outer,Inner,False,(q_2.id = a_1.parentid),Hash Join,1149509,"['a_1.owneruserid', 'a_1.parentid', 'q_2.id']",12,0,0,3557569,0,2022241,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,0,Hash Join,Outer,Inner,False,(pt_1.postid = q_1.id),Hash Join,1566520,"['q_1.owneruserid', 'pt_1.tagid']",8,0,0,3641094,0,1530585,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,0,Hash Join,Outer,Inner,False,(pt_2.postid = q_2.id),Hash Join,1176497,"['a_1.owneruserid', 'pt_2.tagid']",8,0,0,3641094,0,1149509,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,0,Hash Join,Outer,Inner,False,(q.id = pt.postid),Hash Join,1572,"['q.id', 'q.acceptedanswerid', 't.tagname', 't.count']",28,0,1,1491963,0,3748,0,1,0.02299999999999995,1.0,18.0,0.0,0.0,0.0,0.0,0.009875633712160119,1.2787536009528289,0,mathso,ce_mathso
80975,0,Sort,Outer,Anti,False,(q.id = a.parentid),Hash Join,1306,"['t.tagname', 't.count']",20,((a.score > 0) OR (a.id = q.acceptedanswerid)),0,1572,0,3557569,0,0,0.000749999999999925,1.0,18.0,0.0,0.0,0.0,0.0,0.00032559877714274466,1.2787536009528289,0,mathso,ce_mathso
80975,0,Sort,Outer,Inner,False,(pt_1.tagid = t_1.id),Hash Join,1566520,"['t_1.tagname', 'q_1.owneruserid']",20,0,0,1566520,0,1943,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,0,Sort,Outer,Inner,False,(pt_2.tagid = t_2.id),Hash Join,1176497,"['t_2.tagname', 'a_1.owneruserid']",20,0,0,1176497,0,1943,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,6,Hash,Outer,Inner,False,(pt.tagid = t.id),Hash Join,3748,"['pt.postid', 't.tagname', 't.count']",24,0,1,3641094,0,2,0,1,0.010666666666666533,1.0,17.0,0.0,0.0,0.0,0.0,0.004607942240353462,1.255272505103306,0,mathso,ce_mathso
80975,6,Hash,Outer,Inner,False,(q_2.id = a_1.parentid),Hash Join,1149509,"['a_1.owneruserid', 'a_1.parentid', 'q_2.id']",12,0,0,3557569,0,2022241,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,6,Hash Join,Outer,Inner,False,(pt_1.postid = q_1.id),Hash Join,1566520,"['q_1.owneruserid', 'pt_1.tagid']",8,0,0,3641094,0,1530585,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,6,Hash Join,Outer,Inner,False,(pt_2.postid = q_2.id),Hash Join,1176497,"['a_1.owneruserid', 'pt_2.tagid']",8,0,0,3641094,0,1149509,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,6,Hash Join,Outer,Inner,False,(q.id = pt.postid),Hash Join,1572,"['q.id', 'q.acceptedanswerid', 't.tagname', 't.count']",28,0,1,1491963,0,3748,0,1,0.0203333333333333,1.0,18.0,0.0,0.0,0.0,0.0,0.008742074877672196,1.2787536009528289,0,mathso,ce_mathso
80975,6,Sort,Outer,Anti,False,(q.id = a.parentid),Hash Join,1306,"['t.tagname', 't.count']",20,((a.score > 0) OR (a.id = q.acceptedanswerid)),0,1572,0,3557569,0,0,0.0009999999999999,1.0,18.0,0.0,0.0,0.0,0.0,0.0004340774793185929,1.2787536009528289,0,mathso,ce_mathso
80975,6,Sort,Outer,Inner,False,(pt_1.tagid = t_1.id),Hash Join,1566520,"['t_1.tagname', 'q_1.owneruserid']",20,0,0,1566520,0,1943,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80975,6,Sort,Outer,Inner,False,(pt_2.tagid = t_2.id),Hash Join,1176497,"['t_2.tagname', 'a_1.owneruserid']",20,0,0,1176497,0,1943,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,mathso,ce_mathso
80981,0,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.03,1.0,18.0,0.0,0.0,0.0,0.0,0.012837224705172217,1.2787536009528289,0,mathso,ce_mathso
80981,0,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.014,1.0,17.0,0.0,0.0,0.0,0.0,0.006037954997317177,1.255272505103306,0,mathso,ce_mathso
80981,9,0,0,Inner,False,(posts.id = posttags.postid),Hash Join,1874,['posts.id'],4,0,1,3557569,0,1874,0,1,0.02279999999999994,1.0,17.6,0.0,0.0,0.0,0.0,0.009790719354297815,1.2695129442179163,0,mathso,ce_mathso
80981,9,Hash,Outer,Inner,False,(posttags.tagid = tags.id),Hash Join,1874,['posttags.postid'],4,0,1,3641094,0,1,0,1,0.012666666666666567,1.0,17.0,0.0,0.0,0.0,0.0,0.0054665148071050725,1.255272505103306,0,mathso,ce_mathso
